qid,query,total_relevant,found,missing,success_rate,best_rank,worst_rank
1,لبس جلباب اثناء احرام,1,1,0,100.0,22,22
2,ما هي غرام من يرتكب محرم اثناء حج؟,1,1,0,100.0,43,43
3,كان ريح يود ريض حج، وفي منتصف حج فقد ملابس احرام ولم يجد غير ملابس مخيطة، فهل علي عقوبات؟,1,1,0,100.0,100,100
4,شروط استحقاق زكا,1,1,0,100.0,0,0
5,ما حكم اعطاء زكا لكافرين؟,1,1,0,100.0,14,14
6,كري عضو في جنة تلق توزيع زكا في قريته. وفي احد ايام اعطا زكا رجل قير اكتشف يما بعد انه لا يزال ديه اطفال يستطيع اعالته. هل توزيع زكا حلال؟,1,0,1,0.0,N/A,N/A
7,تم اعاد بيع ضايع تي لم يتم استلام بعد,1,1,0,100.0,78,78
8,متا يعتبر مشتر قد استلم منزل ذي اشتراه؟,1,1,0,100.0,8,8
9,اشترت ضياء يلوغراما احدا من بيض صنع خبز. عندما قام ايع تسليم بيض في رقعة، اسقط ايع عن طريق خطا قبل ان يستلم ضياء عليا. وفي مثل هذه ظروف من يتحمل خسارة؟,1,0,1,0.0,N/A,N/A
10,تزام شخص همي,1,0,1,0.0,N/A,N/A
11,قان استخدام اشياء اخر دون اذن,1,1,0,100.0,2,2
12,في قطار مساف طويلة، يقوم راكب غير قان ليس ديه تذكر مقعد طرد ركاب ذين انوا جالس الفعل فقا رقم مقعد ثم ياخذ مقعدهم. ما هو حال افعاله؟,1,0,1,0.0,N/A,N/A
13,تحديد داي شهر رمض,1,1,0,100.0,2,2
14,متا كان صيام رمض مطلوبا اول مرة في اسلام؟,1,1,0,100.0,32,32
15,يزعم علماء فلك في صين - غالبيت من غير مسلم - ان راوا هلال جديد، سرع ما انتشر هذا خبر بين سك صين مسلمين، فهل يمكن استخدام هذه معلوم اساس تحديد داي شهر؟,1,0,1,0.0,N/A,N/A
16,Syarat wajib puasa,1,0,1,0.0,N/A,N/A
17,ماذا تمنع حايض او نفاس من صيام؟,1,1,0,100.0,21,21
