name,qid,query_type,query,rank_ditemukan,Hit@10,Hit@20,Hit@50,Hit@100
AraDPR (Gemini AI),1,1.0,Memakai gamis saat ihram,206,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),4,1.0,Syarat-syarat penerima zakat,57,❌ Miss,❌ Miss,❌ Miss,✅ Hit
AraDPR (Gemini AI),7,1.0,Barang belum diterima sudah dijual kembali,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
AraDPR (Gemini AI),10,1.0,Kewajiban orang yang ghasab,103,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),13,1.0,Penetapan awal bulan ramadhan ,51,❌ Miss,❌ Miss,❌ Miss,✅ Hit
AraDPR (Gemini AI),16,1.0,Syarat wajib puasa,178,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),19,1.0, syarat barang yang sah disewakan,109,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),22,1.0,mabuk perjalanan saat berpuasa,106,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),25,1.0,barang yang tidak boleh dipinjamkan,248,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),28,1.0,jual beli dengan ijab qabul main-main,587,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),31,1.0,menjual pupuk kandang,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
AraDPR (Gemini AI),34,1.0,berhutang untuk maksiat,101,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),37,1.0,menggadaikan barang pinjaman ,3,✅ Hit,✅ Hit,✅ Hit,✅ Hit
AraDPR (Gemini AI),40,1.0,hantaran lamaran ,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
AraDPR (Gemini AI),43,1.0,wasiatnya anak kecil,16,❌ Miss,✅ Hit,✅ Hit,✅ Hit
AraDPR (Gemini AI),46,1.0,melihat kelamin perempuan yang belum baligh,176,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),49,1.0,mahar tidak disebutkan ketika akad nikah,38,❌ Miss,❌ Miss,✅ Hit,✅ Hit
AraDPR (Gemini AI),2,2.0,Apa denda bagi orang yang melakukan perbuatan yang diharamkan ketika haji?,83,❌ Miss,❌ Miss,❌ Miss,✅ Hit
AraDPR (Gemini AI),5,2.0,Apa hukum memberikan zakat kepada orang kafir?,295,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),8,2.0,kapan pembeli dianggap menerima rumah yang ia beli?,4,✅ Hit,✅ Hit,✅ Hit,✅ Hit
AraDPR (Gemini AI),11,2.0,hukum menggunakan barang orang lain tanpa izin,57,❌ Miss,❌ Miss,❌ Miss,✅ Hit
AraDPR (Gemini AI),14,2.0,Kapan pertama kali puasa ramadhan diwajibkan dalam Islam?,39,❌ Miss,❌ Miss,✅ Hit,✅ Hit
AraDPR (Gemini AI),17,2.0,Mengapa wanita yang sedang haid atau nifas dilarang untuk berpuasa?,62,❌ Miss,❌ Miss,❌ Miss,✅ Hit
AraDPR (Gemini AI),20,2.0,Bolehkah menyewa seseorang hanya untuk menawarkan barang dagangan?,289,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),23,2.0,apakah mimpi basah dapat membatalkan puasa?,129,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),26,2.0,apa yang menjadi tanggung jawab peminjam saat barang pinjaman rusak?,152,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),29,2.0,mengapa pada jual beli harus ada akad?,407,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),32,2.0,apa hukum membeli barang yang belum pernah dilihat oleh pembeli?,4,✅ Hit,✅ Hit,✅ Hit,✅ Hit
AraDPR (Gemini AI),35,2.0,mana yang lebih utama antara memberikan hutang atau bersedekah?,234,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),38,2.0,apakah bisa orang tua menggadaikan harta anaknya?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
AraDPR (Gemini AI),41,2.0,bolehkan menerima pemberian dari orang yang telah kita selamatkan?,34,❌ Miss,❌ Miss,✅ Hit,✅ Hit
AraDPR (Gemini AI),44,2.0,berapa batas maksimal wasiat?,12,❌ Miss,✅ Hit,✅ Hit,✅ Hit
AraDPR (Gemini AI),47,2.0,apakah suara perempuan termasuk aurat?,202,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),50,2.0,bagaimana jika salah menyebutkan nama calon istri ketika qabul nikah?,43,❌ Miss,❌ Miss,✅ Hit,✅ Hit
AraDPR (Gemini AI),3,3.0,"Rehan sedang melaksanakan ibadah haji, namun ditengah pelaksanaan ibadah haji, ia kehilangan pakaian ihramnya dan tidak menemukan apapun selain pakaian yang berjahit, apakah ia terkena sanksi?",193,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),6,3.0,"Fikri adalah panitia penerima dan penyalur zakat di desanya, suatu hari ia memberikan zakat kepada seorang fakir yang dikemudian hari diketahui masih memiliki anak yang mampu menafkahinya, apakah penyaluran zakat tersebut sudah sah?",73,❌ Miss,❌ Miss,❌ Miss,✅ Hit
AraDPR (Gemini AI),9,3.0,"Diyah membeli telur sebanyak 1 kg untuk keperluan membuat roti, saat penjual menyerahkan telur yang berada di kresek, penjual tidak sengaja menjatuhkannya sebelum Diyah benar-benar menerimanya, dalam kondisi seperti itu siapa yang menanggung kerugiannya?  ",41,❌ Miss,❌ Miss,✅ Hit,✅ Hit
AraDPR (Gemini AI),12,3.0,"Di dalam kereta api jarak jauh, seorang penumpang ilegal yang tidak memiliki tiket tempat duduk, mengusir penumpang yang sudah duduk sesuai nomor kursinya lalu mengambil alih kursinya, apa status perbuatan yang dilakukannya? ",73,❌ Miss,❌ Miss,❌ Miss,✅ Hit
AraDPR (Gemini AI),15,3.0,"Para ahli astronomi di Cina - yang mayoritas beragama non muslim- mengaku telah melihat bulan baru, kabar tersebut dengan cepat tersebar kepada penduduk Cina yang beragama Islam, dapatkah informasi tersebut dijadikan dasar penetapan awal bulan?",75,❌ Miss,❌ Miss,❌ Miss,✅ Hit
AraDPR (Gemini AI),18,3.0,"Seorang Muslim makan sahur dengan tujuan agar kuat berpuasa, namun ia lupa melintaskan niat puasa wajib di hatinya, apakah puasanya sah?",25,❌ Miss,❌ Miss,✅ Hit,✅ Hit
AraDPR (Gemini AI),21,3.0,"seorang kiai langgaran diminta membantu proses akad nikah dengan membimbing calon suami untuk malafalkan qabul nikah berbahasa arab, setelah akad selesai kiai ini meminta sejumlah uang sebagai imbalan atas jasa tersebut, bagaimana status pengambilan upah dalam kasus ini?",292,❌ Miss,❌ Miss,❌ Miss,❌ Miss
AraDPR (Gemini AI),24,3.0,"Karena masih dalam masa pengantin baru, Mas Jiko tidak dapat menahan diri untuk terus menciumi istrinya saat sedang berpuasa ramadan hingga keluar mani, apakah puasanya tetap sah ? ",53,❌ Miss,❌ Miss,❌ Miss,✅ Hit
AraDPR (Gemini AI),27,3.0,"Dana dan Dono  adalah kakak beradik yang usianya terlampau jauh, saat ini Dana berusia 28 tahun sedangkan Dono masih berusia 8 tahun. suatu hari Dana menyuruh adiknya, Dono, untuk meminjam kamera kepada paman mereka. Dono pun berhasil mendapatkan kamera itu dari pamannya, saat perjalanan kembali, kamera itu terjatuh dan rusak. Dalam kondisi seperti ini, siapa yang bertanggungjawab atas kerusakan tersebut?",80,❌ Miss,❌ Miss,❌ Miss,✅ Hit
AraDPR (Gemini AI),30,3.0," Sekolah SMP Harapan Bangsa menerapkan konsep Kantin Kejujuran untuk membentuk karakter siswa menjadi pribadi yang jujur. kantin ini menyediakan seluruh kebutuhan siswa dengan disertai harga yang tercantum jelas di daftarnya. para siswa cukup meletakkan sejumlah uang yang seharga barang yang dibeli pada tempat yang telah disediakan. kondisi ini menimbukan kekhawatiran tentang apakah jual beli yang mereka lakukan sah, padahal tidak ada ijab dan qabul di dalamnya?",287,❌ Miss,❌ Miss,❌ Miss,❌ Miss
