qid,query_type,query,AraDPR (Gemini LLM) (Rank),AraDPR (Google NMT) (Rank),BM25 (Gemini LLM) (Rank),BM25 (Google NMT) (Rank),BM25+RM3 (Gemini LLM) (Rank),BM25+RM3 (Google NMT) (Rank),Baseline (DistilBERT Base) (Rank),Baseline (mmBERT-base) (Rank),Baseline (mmBERT-small) (Rank),DistilBERT Base Fine-Tuned (JH-POLO) (Rank),mmBERT-base Fine-Tuned (JH-POLO) (Rank),mmBERT-small Fine-Tuned (JH-POLO) (Rank)
1,1,Kewajiban orang tua untuk memerintahkan sholat fardhu kepada anaknya yang telah berumur 7 tahun,8,104,1,20,1,10,29,346,14,9,3,1
2,2,Bagaimana hukum memerintahkan sholat lima waktu bagi orang tua kepada anak?,25,160,58,64,70,90,42,437,61,2,3,1
3,3,"Pak Arif mempunyai dua anak. Anak yang pertama berumur 7 tahun, sedangkan anak kedua baru berumur 5 tahun. Apakah Pak Arif berkewajiban memerintahkan sholat lima waktu kepada kedua anaknya?",57,118,34,119,18,69,46,81,14,3,4,1
4,1,Kesunnahan membaca basmalah dalam wudhu,157,37,24,4,31,5,14,179,67,40,15,34
5,2,Bagaimana hukum membaca basmalah di tengah-tengah wudhu?,364,214,2,28,5,19,37,149,22,65,9,27
6,3,"Fahmi merupakan santri yang selalu melakukan kesunnahan ketika berwudhu, mulai dari membaca basmalah, berkumur, memasukkan air ke dalam hidung dan kesunnahan-kesunnahan lainnya. Suatu ketika, Fahmi lupa melakukan membaca basmalah di awal wudhu, dan ia teringat setelah berada di tengah-tengah wudhu. Apakah Fahmi tetap disunnahkan membaca basmalah?",212,189,8,2,12,2,63,63,60,58,3,22
7,1,Alasan-alasan yang membatalkan wudhu,3,4,1,1,1,1,395,501,214,5,1,1
8,2,Apakah darah yang keluar dari anus (dubur) karena penyakit wasir (ambeien) dapat membatalkan wudhu?,11,16,1,4,1,4,405,290,124,1,1,9
9,3,"Siti merupakan pasien penderita penyakit wasir (ambeien). Menurut penjelasan dokter, Penyakit ambeien adalah munculnya benjolan di anus dan rektum bagian bawah yang bisa menyebabkan rasa sakit, gatal bahkan pendarahan pada dubur. Benjolan yang muncul tersebut merupakan pembuluh darah vena di sekitar anus dan rektum yang membengkak. Suatu hari ketika Siti hendak melaksanakan sholat, ia mendapati bahwa duburnya terjadi pendaharan akibat penyakit wasir (ambeien) tersebut. Sesuai kronologi tersebut, apakah wudhu yang dilakukan Siti menjadi batal?",58,132,1,128,1,69,352,277,323,17,2,10
10,1,Syarat sah sholat yang kedua,55,43,5,4,5,4,266,58,119,127,133,70
11,2,Bagaimana hukum melakukan sholat dengan memakai pakaian najis dalam keadaan lupa? ,14,29,8,4,7,9,364,77,16,40,1,4
12,3,"Pak Imam merupakan salah seorang yang sangat berhati-hati dalam menjaga kesucian pakaiannya dalam sholat. Suatu ketika, ia melakukan sholat dzuhur, namun ia lupa bahwa pakaian yang dikenakannya sudah terkena kotoran burung saat ia berada dalam perjalanan menuju rumah.  Sahkah sholat yang dilakukan oleh Pak Imam?",61,109,74,36,74,73,305,20,73,42,3,20
13,1,Tata cara mensucikan najis (air seni) yang telah kering,2,15,1,Tidak Ketemu,1,65,435,151,397,35,89,60
14,2,Bagaiamana cara mensucikan najis berupa air seni yang telah mengering di lantai?,1,12,1,1,1,1,493,153,445,57,98,49
15,3,Nabila merupakan seorang pecinta kucing. Kecintaannya terhadap kucing membuatnya memelihara beberapa kucing yang diletakkan di salah satu ruangan di rumahnya. Ruangan tersebut tentunya tidak bisa terhindarkan dari bekas air seni kucing yang telah mengering. Bagaimana cara mensucikan air seni kucing yang telah mengering tersebut?,9,22,1,83,1,73,347,315,247,74,67,103
16,1,Kewajiban mengingatkan seseorang yang pakaiannya terkena najis,335,7,3,248,3,184,83,181,494,72,42,217
17,2,"Bagaiamana hukum mengingatkan seseorang yang hendak melaksanakan sholat, sedang pakaiannya terkena najis?",31,14,3,162,2,151,111,339,459,23,20,71
18,3,"Suatu ketka, saat Mas Agil ingin melaksanakan sholat jamaah di Masjid, ia mengetahui ada najis yang menempel di pakaian salah satu seseorang yang sedang sholat. Apa yang harus dilakukan Mas Agil apabila ia mengetahui ada najis yang menempel di pakaian seseorang yang sedang sholat?",7,52,7,83,10,98,189,618,629,162,28,83
19,1,Kesunahan membaca doa qunut di dalam sholat subuh,39,43,31,79,26,48,19,99,137,3,1,1
20,2,Apa hukum membaca doa qunut di dalam sholat subuh?,99,73,51,358,36,358,32,159,170,2,1,3
