name,qid,query_type,query,rank_ditemukan,Hit@10,Hit@20,Hit@50,Hit@100
BM25 (Gemini LLM),1,1,Kewajiban orang tua untuk memerintahkan sholat fardhu kepada anaknya yang telah berumur 7 tahun,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),4,1,Kesunnahan membaca basmalah dalam wudhu,24,❌ Miss,❌ Miss,✅ Hit,✅ Hit
BM25 (Gemini LLM),7,1,Alasan-alasan yang membatalkan wudhu,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),10,1,Syarat sah sholat yang kedua,5,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),13,1,Tata cara mensucikan najis (air seni) yang telah kering,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),16,1,Kewajiban mengingatkan seseorang yang pakaiannya terkena najis,3,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),19,1,Kesunahan membaca doa qunut di dalam sholat subuh,31,❌ Miss,❌ Miss,✅ Hit,✅ Hit
BM25 (Gemini LLM),22,1,Solusi bagi makmum ketika lupa membaca surah al-Fatihah dalam sholat berjamaah,9,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),25,1,Hukum melakukan sunnah ab'ad yang terlupakan setelah terlanjur melakukan rukun sholat,9,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),28,1,Kesunnahan adzan pada selain sholat fardhu,63,❌ Miss,❌ Miss,❌ Miss,✅ Hit
BM25 (Gemini LLM),31,1,Keafdholan melakukan sholat berjamaah di masjid bagi laki-laki,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),34,1,Ketidak bolehan mengikuti imam yang ummi,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),37,1,Kebolehan mufaroqoh dari jamaah sholat jumat pada rakaat kedua,4,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),40,1,Kesunnahan imam/khatib ta'khir pada sholat Jumat,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),43,1,Keharaman mengkijing/ membangun bangunan permanen di atas kuburan,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),46,1,Kesunnahan melakukan ziarah kubur bagi laki-laki,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
