pos_id,neg_id,bm25_pos_score,bm25_neg_score,score_ratio,lcs_ratio,pos_text_snippet,neg_text_snippet
Page_V01P117,Page_V01P118,737.439,170.6569,0.2314,0.0033," 8- وجلوس بينهما ولا يطوله ولا اعتدالا وسن فيه وتشهد
 أول افتراش واضعا كفيه قريب..."," وجلسة استراحة لقيام.
 | 9- 
 وطمأنينة في كل.
 | 10- 
 وتشهد أخير وأقله التحيات ..."
Page_V01P388,Page_V01P387,493.9689,88.855,0.1799,0.0091," 000000000000000000000000000000000
  ولو أخذ كوزا من سقاء ليشرب منه
 فوقع من يده..."," ولكل رجوع
  الملك وخالف القاضي فقال إنها على
 المستعير.
 وجاز لكل من المعير وال..."
Page_V01P605,Page_V01P604,663.5915,120.3262,0.1813,0.0023," وقبله يعصم دما ومالا,
  صغيرا ثم حكم بإسلامه تبعا لأصله
 جاز سبيه واسترقاقه ويب..."," ولإمام خيار في كامل بين قتل ومن وفداء واسترقاق
 وإسلام كافر بعد أسر يعصم دمه,
 ..."
Page_V01P243,Page_V01P248,663.1275,157.2788,0.2372,0.0049," 
 | فصل في أداء الزكاة
 يجب أداءها فورا بتمكن بحضور مال ومستحقيها وحلول دين مع ..."," لا تعجيلها لعامين وحرم تأخيرها وضمن إن تلف بعد
 تمكن.
 | 2- 
 وإعطاؤها لمستحقيه..."
Page_V01P661,Page_V01P660,722.4483,159.7034,0.2211,0.004," 000000000000000000000000000000000
  فوضته إليك أو شهد واحد باستيفاء
 الدين والآ..."," ويكفي فرعان لأصلين.
  ويكفي فرعان لأصلين أي لكل منهما
 فلا يشترط لكل منهما فرعا..."
Page_V01P583,Page_V01P584,772.7329,128.6014,0.1664,0.0042," ويقطع بمال وقف ومسجد لا حصره ولا بمال صدقة وهو
 مستحق ومصالح وبعض وسيد والأظهر ..."," فيده اليسرى فرجله اليمنى ثم عزر وتثبت برجلين وإقرار
 وبيمين رد وقبل رجوع مقر وم..."
Page_V01P062,Page_V01P061,705.7866,126.889,0.1798,0.0035," ببطن كف 4- وتلاقي بشرتي ذكر وأنثى
  وخرج بآدمي فرج البهيمة إذ لا
 يشتهى ومن ثم ..."," لا بنوم ممكن مقعده 3- ومس فرج آدمي
  نوم للخبر الصحيح: ""فمن نام
 فليتوضأ"" [أبو ..."
Page_V01P575,Page_V01P576,747.3964,161.2885,0.2158,0.0021," يجلد إمام حرا مكلفا زنى مئة ويغرب عاما إن كان بكرا
 لا مع ظن حل أو مع تحليل عال..."," ويرجم محصنا,
  ويحد في مستأجرة للزنا بها إذ لا
 شبهة لعدم الاعتداد بالعقد الباط..."
Page_V01P234,Page_V01P319,700.3454,95.3734,0.1362,0.0032," 000000000000000000000000000000000
  مثقال للنهي عن اتخاذه مثقالا
 [صحيح ابن حبا..."," ومصحف وفي معقود ملك له عليه
  وكذا يشترط أيضا: إسلام لتملك مرتد
 على المعتمد لك..."
Page_V01P267,Page_V01P266,627.6611,124.4372,0.1983,0.005," 00000000000000000000000000000000
  وبالصرف المختلط بطاهر آخر فيفطر
 من ابتلع ري..."," ولا بريق طاهر صرف من معدنه,
  وخرج بالعين: الأثر كوصول الطعم
 بالذوق إلى حلقه.
..."
