Skenario,name,qid,query_type,query,rank_ditemukan,Hit@10,Hit@20,Hit@50,Hit@100
Skenario 1 (BM25),BM25 (Gemini LLM),1,1,Memakai gamis saat ihram,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),4,1,Syarat-syarat penerima zakat,20,❌ Miss,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),7,1,Barang belum diterima sudah dijual kembali,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),10,1,Kewajiban orang yang ghasab,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),13,1,Penetapan awal bulan ramadhan ,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),16,1,Syarat wajib puasa,9,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),19,1, syarat barang yang sah disewakan,63,❌ Miss,❌ Miss,❌ Miss,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),22,1,mabuk perjalanan saat berpuasa,Tidak Ketemu,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Skenario 1 (BM25),BM25 (Gemini LLM),25,1,barang yang tidak boleh dipinjamkan,92,❌ Miss,❌ Miss,❌ Miss,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),28,1,jual beli dengan ijab qabul main-main,3,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),31,1,menjual pupuk kandang,14,❌ Miss,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),34,1,berhutang untuk maksiat,Tidak Ketemu,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Skenario 1 (BM25),BM25 (Gemini LLM),37,1,menggadaikan barang pinjaman ,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),40,1,hantaran lamaran ,12,❌ Miss,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),43,1,wasiatnya anak kecil,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),46,1,melihat kelamin perempuan yang belum baligh,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),49,1,mahar tidak disebutkan ketika akad nikah,6,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),2,2,Apa denda bagi orang yang melakukan perbuatan yang diharamkan ketika haji?,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),5,2,Apa hukum memberikan zakat kepada orang kafir?,6,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),8,2,kapan pembeli dianggap menerima rumah yang ia beli?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),11,2,hukum menggunakan barang orang lain tanpa izin,521,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Skenario 1 (BM25),BM25 (Gemini LLM),14,2,Kapan pertama kali puasa ramadhan diwajibkan dalam Islam?,6,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),17,2,Mengapa wanita yang sedang haid atau nifas dilarang untuk berpuasa?,3,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),20,2,Bolehkah menyewa seseorang hanya untuk menawarkan barang dagangan?,4,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),23,2,apakah mimpi basah dapat membatalkan puasa?,13,❌ Miss,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),26,2,apa yang menjadi tanggung jawab peminjam saat barang pinjaman rusak?,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),29,2,mengapa pada jual beli harus ada akad?,47,❌ Miss,❌ Miss,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),32,2,apa hukum membeli barang yang belum pernah dilihat oleh pembeli?,23,❌ Miss,❌ Miss,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),35,2,mana yang lebih utama antara memberikan hutang atau bersedekah?,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),38,2,apakah bisa orang tua menggadaikan harta anaknya?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),41,2,bolehkan menerima pemberian dari orang yang telah kita selamatkan?,8,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),44,2,berapa batas maksimal wasiat?,280,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Skenario 1 (BM25),BM25 (Gemini LLM),47,2,apakah suara perempuan termasuk aurat?,121,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Skenario 1 (BM25),BM25 (Gemini LLM),50,2,bagaimana jika salah menyebutkan nama calon istri ketika qabul nikah?,22,❌ Miss,❌ Miss,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),3,3,"Rehan sedang melaksanakan ibadah haji, namun ditengah pelaksanaan ibadah haji, ia kehilangan pakaian ihramnya dan tidak menemukan apapun selain pakaian yang berjahit, apakah ia terkena sanksi?",15,❌ Miss,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),6,3,"Fikri adalah panitia penerima dan penyalur zakat di desanya, suatu hari ia memberikan zakat kepada seorang fakir yang dikemudian hari diketahui masih memiliki anak yang mampu menafkahinya, apakah penyaluran zakat tersebut sudah sah?",6,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),9,3,"Diyah membeli telur sebanyak 1 kg untuk keperluan membuat roti, saat penjual menyerahkan telur yang berada di kresek, penjual tidak sengaja menjatuhkannya sebelum Diyah benar-benar menerimanya, dalam kondisi seperti itu siapa yang menanggung kerugiannya?  ",4,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),12,3,"Di dalam kereta api jarak jauh, seorang penumpang ilegal yang tidak memiliki tiket tempat duduk, mengusir penumpang yang sudah duduk sesuai nomor kursinya lalu mengambil alih kursinya, apa status perbuatan yang dilakukannya? ",44,❌ Miss,❌ Miss,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),15,3,"Para ahli astronomi di Cina - yang mayoritas beragama non muslim- mengaku telah melihat bulan baru, kabar tersebut dengan cepat tersebar kepada penduduk Cina yang beragama Islam, dapatkah informasi tersebut dijadikan dasar penetapan awal bulan?",1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),18,3,"Seorang Muslim makan sahur dengan tujuan agar kuat berpuasa, namun ia lupa melintaskan niat puasa wajib di hatinya, apakah puasanya sah?",1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),21,3,"seorang kiai langgaran diminta membantu proses akad nikah dengan membimbing calon suami untuk malafalkan qabul nikah berbahasa arab, setelah akad selesai kiai ini meminta sejumlah uang sebagai imbalan atas jasa tersebut, bagaimana status pengambilan upah dalam kasus ini?",3,✅ Hit,✅ Hit,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),24,3,"Karena masih dalam masa pengantin baru, Mas Jiko tidak dapat menahan diri untuk terus menciumi istrinya saat sedang berpuasa ramadan hingga keluar mani, apakah puasanya tetap sah ? ",48,❌ Miss,❌ Miss,✅ Hit,✅ Hit
Skenario 1 (BM25),BM25 (Gemini LLM),27,3,"Dana dan Dono  adalah kakak beradik yang usianya terlampau jauh, saat ini Dana berusia 28 tahun sedangkan Dono masih berusia 8 tahun. suatu hari Dana menyuruh adiknya, Dono, untuk meminjam kamera kepada paman mereka. Dono pun berhasil mendapatkan kamera itu dari pamannya, saat perjalanan kembali, kamera itu terjatuh dan rusak. Dalam kondisi seperti ini, siapa yang bertanggungjawab atas kerusakan tersebut?",98,❌ Miss,❌ Miss,❌ Miss,✅ Hit
