name,qid,query_type,query,rank_ditemukan,Hit@10,Hit@20,Hit@50,Hit@100
BM25 (Gemini LLM),1,1,Memakai gamis saat ihram,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),4,1,Syarat-syarat penerima zakat,20,❌ Miss,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),7,1,Barang belum diterima sudah dijual kembali,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),10,1,Kewajiban orang yang ghasab,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),13,1,Penetapan awal bulan ramadhan ,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),16,1,Syarat wajib puasa,9,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),19,1, syarat barang yang sah disewakan,63,❌ Miss,❌ Miss,❌ Miss,✅ Hit
BM25 (Gemini LLM),22,1,mabuk perjalanan saat berpuasa,Tidak Ketemu,❌ Miss,❌ Miss,❌ Miss,❌ Miss
BM25 (Gemini LLM),25,1,barang yang tidak boleh dipinjamkan,92,❌ Miss,❌ Miss,❌ Miss,✅ Hit
BM25 (Gemini LLM),28,1,jual beli dengan ijab qabul main-main,3,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),31,1,menjual pupuk kandang,14,❌ Miss,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),34,1,berhutang untuk maksiat,Tidak Ketemu,❌ Miss,❌ Miss,❌ Miss,❌ Miss
BM25 (Gemini LLM),37,1,menggadaikan barang pinjaman ,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),40,1,hantaran lamaran ,12,❌ Miss,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),43,1,wasiatnya anak kecil,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),46,1,melihat kelamin perempuan yang belum baligh,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),49,1,mahar tidak disebutkan ketika akad nikah,6,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),2,2,Apa denda bagi orang yang melakukan perbuatan yang diharamkan ketika haji?,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),5,2,Apa hukum memberikan zakat kepada orang kafir?,6,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),8,2,kapan pembeli dianggap menerima rumah yang ia beli?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),11,2,hukum menggunakan barang orang lain tanpa izin,521,❌ Miss,❌ Miss,❌ Miss,❌ Miss
BM25 (Gemini LLM),14,2,Kapan pertama kali puasa ramadhan diwajibkan dalam Islam?,6,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),17,2,Mengapa wanita yang sedang haid atau nifas dilarang untuk berpuasa?,3,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),20,2,Bolehkah menyewa seseorang hanya untuk menawarkan barang dagangan?,4,✅ Hit,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),23,2,apakah mimpi basah dapat membatalkan puasa?,13,❌ Miss,✅ Hit,✅ Hit,✅ Hit
BM25 (Gemini LLM),26,2,apa yang menjadi tanggung jawab peminjam saat barang pinjaman rusak?,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit
