qid,query,query_nmt,query_llm
1,Kewajiban orang tua untuk memerintahkan sholat fardhu kepada anaknya yang telah berumur 7 tahun,من واجب الوالدين أن يأمروا أبناءهم الذين يبلغون من العمر سبع سنوات بأداء الصلوات المفروضة.,وجوب أمر الولي صبيه بالصلاة المكتوبة إذا بلغ سبع سنين
2,Bagaimana hukum memerintahkan sholat lima waktu bagi orang tua kepada anak?,ما هو الحكم في إلزام الآباء بالصلاة خمس مرات في اليوم من أجل أطفالهم؟,ما حكم أمر الآباء أولادهم بالصلوات الخمس؟
3,"Pak Arif mempunyai dua anak. Anak yang pertama berumur 7 tahun, sedangkan anak kedua baru berumur 5 tahun. Apakah Pak Arif berkewajiban memerintahkan sholat lima waktu kepada kedua anaknya?",للسيد عارف طفلان. الأول يبلغ من العمر سبع سنوات، والثاني يبلغ من العمر خمس سنوات فقط. هل السيد عارف ملزم بتعليم طفليه الصلاة خمس مرات في اليوم؟,باك عاريف له ولدان. الولد الأول يبلغ من العمر سبع سنين، بينما الولد الثاني يبلغ خمس سنين. هل يجب على باك عاريف أن يأمر ولديه بالصلوات الخمس؟
4,Kesunnahan membaca basmalah dalam wudhu,من السنة قراءة البسملة أثناء الوضوء,سنية قراءة البسملة في الوضوء
5,Bagaimana hukum membaca basmalah di tengah-tengah wudhu?,ما هو حكم قراءة البسملة في منتصف الوضوء؟,ما حكم قراءة البسملة في أثناء الوضوء؟
6,"Fahmi merupakan santri yang selalu melakukan kesunnahan ketika berwudhu, mulai dari membaca basmalah, berkumur, memasukkan air ke dalam hidung dan kesunnahan-kesunnahan lainnya. Suatu ketika, Fahmi lupa melakukan membaca basmalah di awal wudhu, dan ia teringat setelah berada di tengah-tengah wudhu. Apakah Fahmi tetap disunnahkan membaca basmalah?",فهمي طالبٌ يحرص دائمًا على أداء السنن أثناء الوضوء، بدءًا من البسملة، ثم المضمضة، ثم استنشاق الماء، وغير ذلك من السنن. في إحدى المرات، نسي فهمي البسملة في بداية الوضوء، ثم تذكرها في منتصفه. فهل يُعدّ من السنن أن يقرأ فهمي البسملة؟,فهمي طالب علم يفعل دائما سنن الوضوء، من قراءة البسملة، والمضمضة، والاستنشاق وغيرها من السنن. وذات مرة، نسي فهمي قراءة البسملة في أول الوضوء، وتذكر بعد أن كان في أثناء الوضوء. فهل يسن لفهمي قراءة البسملة؟
7,Alasan-alasan yang membatalkan wudhu,أسباب إبطال الوضوء,نواقض الوضوء
8,Apakah darah yang keluar dari anus (dubur) karena penyakit wasir (ambeien) dapat membatalkan wudhu?,هل خروج الدم من فتحة الشرج (المستقيم) بسبب البواسير يبطل الوضوء؟,هل الدم الخارج من الدبر بسبب الباسور ينقض الوضوء؟
9,"Siti merupakan pasien penderita penyakit wasir (ambeien). Menurut penjelasan dokter, Penyakit ambeien adalah munculnya benjolan di anus dan rektum bagian bawah yang bisa menyebabkan rasa sakit, gatal bahkan pendarahan pada dubur. Benjolan yang muncul tersebut merupakan pembuluh darah vena di sekitar anus dan rektum yang membengkak. Suatu hari ketika Siti hendak melaksanakan sholat, ia mendapati bahwa duburnya terjadi pendaharan akibat penyakit wasir (ambeien) tersebut. Sesuai kronologi tersebut, apakah wudhu yang dilakukan Siti menjadi batal?",سيتي مريضة تعاني من البواسير. بحسب الطبيب، البواسير عبارة عن كتل تظهر في فتحة الشرج والمستقيم السفلي، وقد تسبب ألمًا وحكة، بل ونزيفًا شرجيًا. هذه الكتل عبارة عن أوردة متورمة حول فتحة الشرج والمستقيم. في أحد الأيام، بينما كانت سيتي على وشك الصلاة، لاحظت نزيفًا شرجيًا بسبب البواسير. بناءً على هذا التسلسل الزمني، هل يُبطل وضوء سيتي وضوئها؟,سيتي مريضة بالباسور. بناء على توضيح الطبيب، الباسور هو ظهور ورم في الدبر والمستقيم السفلي يمكن أن يسبب ألما وحكة بل ونزيفا في الدبر. هذا الورم الظاهر هو أوردة دموية حول الدبر والمستقيم قد انتفخت. في يوم من الأيام عندما أرادت سيتي أداء الصلاة، وجدت أن دبرها ينزف بسبب مرض الباسور المذكور. بناء على هذا التسلسل الزمني، هل وضوء سيتي ينتقض؟
10,Syarat sah sholat yang kedua,الشرط الثاني لصحة الصلاة,الشرط الثاني من شروط صحة الصلاة
