name,qid,recip_rank,success_10,success_100,success_20,success_50,query_type,query,rank_ditemukan,Hit@10,Hit@20,Hit@50,Hit@100,qid_int
RRF,1,0.02702702702702703,0.0,1.0,0.0,1.0,1,Kewajiban orang tua untuk memerintahkan sholat fardhu kepada anaknya yang telah berumur 7 tahun,37,❌ Miss,❌ Miss,✅ Hit,✅ Hit,1
RRF,4,0.06666666666666667,0.0,1.0,1.0,1.0,1,Kesunnahan membaca basmalah dalam wudhu,15,❌ Miss,✅ Hit,✅ Hit,✅ Hit,4
RRF,7,1.0,1.0,1.0,1.0,1.0,1,Alasan-alasan yang membatalkan wudhu,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,7
RRF,10,0.007518796992481203,0.0,0.0,0.0,0.0,1,Syarat sah sholat yang kedua,133,❌ Miss,❌ Miss,❌ Miss,❌ Miss,10
RRF,13,0.011235955056179775,0.0,1.0,0.0,0.0,1,Tata cara mensucikan najis (air seni) yang telah kering,89,❌ Miss,❌ Miss,❌ Miss,✅ Hit,13
RRF,16,0.023809523809523808,0.0,1.0,0.0,1.0,1,Kewajiban mengingatkan seseorang yang pakaiannya terkena najis,42,❌ Miss,❌ Miss,✅ Hit,✅ Hit,16
RRF,19,1.0,1.0,1.0,1.0,1.0,1,Kesunahan membaca doa qunut di dalam sholat subuh,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,19
RRF,22,0.014705882352941176,0.0,1.0,0.0,0.0,1,Solusi bagi makmum ketika lupa membaca surah al-Fatihah dalam sholat berjamaah,68,❌ Miss,❌ Miss,❌ Miss,✅ Hit,22
RRF,25,0.5,1.0,1.0,1.0,1.0,1,Hukum melakukan sunnah ab'ad yang terlupakan setelah terlanjur melakukan rukun sholat,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,25
RRF,28,0.02702702702702703,0.0,1.0,0.0,1.0,1,Kesunnahan adzan pada selain sholat fardhu,37,❌ Miss,❌ Miss,✅ Hit,✅ Hit,28
RRF,31,0.013513513513513514,0.0,1.0,0.0,0.0,1,Keafdholan melakukan sholat berjamaah di masjid bagi laki-laki,74,❌ Miss,❌ Miss,❌ Miss,✅ Hit,31
RRF,34,0.1111111111111111,1.0,1.0,1.0,1.0,1,Ketidak bolehan mengikuti imam yang ummi,9,✅ Hit,✅ Hit,✅ Hit,✅ Hit,34
RRF,37,0.007142857142857143,0.0,0.0,0.0,0.0,1,Kebolehan mufaroqoh dari jamaah sholat jumat pada rakaat kedua,140,❌ Miss,❌ Miss,❌ Miss,❌ Miss,37
