model,qid,query,success,n_retrieved
BM25,1,لبس جلباب اثناء احرام,0,10
BM25,2,ما هي غرام من يرتكب محرم اثناء حج؟,0,10
BM25,3,كان ريح يود ريض حج، وفي منتصف حج فقد ملابس احرام ولم يجد غير ملابس مخيطة، فهل علي عقوبات؟,0,10
BM25,4,شروط استحقاق زكا,1,10
BM25,5,ما حكم اعطاء زكا لكافرين؟,0,10
BM25,6,كري عضو في جنة تلق توزيع زكا في قريته. وفي احد ايام اعطا زكا رجل قير اكتشف يما بعد انه لا يزال ديه اطفال يستطيع اعالته. هل توزيع زكا حلال؟,0,0
BM25,7,تم اعاد بيع ضايع تي لم يتم استلام بعد,0,10
BM25,8,متا يعتبر مشتر قد استلم منزل ذي اشتراه؟,1,10
BM25,9,اشترت ضياء يلوغراما احدا من بيض صنع خبز. عندما قام ايع تسليم بيض في رقعة، اسقط ايع عن طريق خطا قبل ان يستلم ضياء عليا. وفي مثل هذه ظروف من يتحمل خسارة؟,0,0
BM25,10,تزام شخص همي,0,10
BM25,11,قان استخدام اشياء اخر دون اذن,1,10
BM25,12,في قطار مساف طويلة، يقوم راكب غير قان ليس ديه تذكر مقعد طرد ركاب ذين انوا جالس الفعل فقا رقم مقعد ثم ياخذ مقعدهم. ما هو حال افعاله؟,0,0
BM25,13,تحديد داي شهر رمض,1,10
BM25,14,متا كان صيام رمض مطلوبا اول مرة في اسلام؟,0,10
BM25,15,يزعم علماء فلك في صين - غالبيت من غير مسلم - ان راوا هلال جديد، سرع ما انتشر هذا خبر بين سك صين مسلمين، فهل يمكن استخدام هذه معلوم اساس تحديد داي شهر؟,0,0
BM25,16,Syarat wajib puasa,0,0
BM25,17,ماذا تمنع حايض او نفاس من صيام؟,0,10
BM25,18,مسلم يتسحر وهو يريد ان يقوا علا صيام، كنه ينسا ان ينقل نية صيام اجب في قلبه. فهل صيام صحيح؟,0,0
BM25,19,شروط تاجير ضايع قانونيا,0,10
BM25,20,هل من مقبول استيجار شخص فقط عرض ضايع؟,1,10
BM25,21,طلب من احد Langgaran kiai مساعد في عمل عقد زواج من خلال توج زوج محتمل تلاو قبول زواج اللغ عربية. بعد اتمام عقد، طلب هذا شخص مبلغا معي من مال مقابل هذه خدمة. وما حكم اخذ اجر في هذه حالة؟,0,0
BM25,22,دوار حرك اثناء صيام,0,10
BM25,23,هل احتلام يفطر صيام؟,1,10
BM25,24,انه كان لا يزال متزوجا حديثا، لم يستطع ماس جيكو ان يمنع نفس من استمرار في تقبيل زوجت اثناء صيام في شهر رمض حتا خرج سايل منو منه. فهل ما زال صوم صحيحا؟,0,0
BM25,25,عناصر تي لا يمكن اعارت,0,10
BM25,26,ما هي مسوول مقترض عند تلف سلع مقترضة؟,0,10
