name,qid,query_type,query,rank_ditemukan,Hit@10,Hit@20,Hit@50,Hit@100
Baseline (mmBERT-small),1,1,Kewajiban orang tua untuk memerintahkan sholat fardhu kepada anaknya yang telah berumur 7 tahun,14,❌ Miss,✅ Hit,✅ Hit,✅ Hit
Baseline (mmBERT-small),4,1,Kesunnahan membaca basmalah dalam wudhu,67,❌ Miss,❌ Miss,❌ Miss,✅ Hit
Baseline (mmBERT-small),7,1,Alasan-alasan yang membatalkan wudhu,214,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),10,1,Syarat sah sholat yang kedua,119,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),13,1,Tata cara mensucikan najis (air seni) yang telah kering,397,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),16,1,Kewajiban mengingatkan seseorang yang pakaiannya terkena najis,494,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),19,1,Kesunahan membaca doa qunut di dalam sholat subuh,137,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),22,1,Solusi bagi makmum ketika lupa membaca surah al-Fatihah dalam sholat berjamaah,13,❌ Miss,✅ Hit,✅ Hit,✅ Hit
Baseline (mmBERT-small),25,1,Hukum melakukan sunnah ab'ad yang terlupakan setelah terlanjur melakukan rukun sholat,388,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),28,1,Kesunnahan adzan pada selain sholat fardhu,423,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),31,1,Keafdholan melakukan sholat berjamaah di masjid bagi laki-laki,310,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),34,1,Ketidak bolehan mengikuti imam yang ummi,422,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),37,1,Kebolehan mufaroqoh dari jamaah sholat jumat pada rakaat kedua,199,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),40,1,Kesunnahan imam/khatib ta'khir pada sholat Jumat,25,❌ Miss,❌ Miss,✅ Hit,✅ Hit
Baseline (mmBERT-small),43,1,Keharaman mengkijing/ membangun bangunan permanen di atas kuburan,31,❌ Miss,❌ Miss,✅ Hit,✅ Hit
Baseline (mmBERT-small),46,1,Kesunnahan melakukan ziarah kubur bagi laki-laki,38,❌ Miss,❌ Miss,✅ Hit,✅ Hit
Baseline (mmBERT-small),49,1,Keharaman ta'khir membayar zakat fitrah di hari raya Idul Fitri tanpa adanya uzur,93,❌ Miss,❌ Miss,❌ Miss,✅ Hit
Baseline (mmBERT-small),52,1,Memakai gamis saat ihram,284,❌ Miss,❌ Miss,❌ Miss,❌ Miss
Baseline (mmBERT-small),55,1,Syarat-syarat penerima zakat,435,❌ Miss,❌ Miss,❌ Miss,❌ Miss
